fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Aug,15,KARNATAKA,1525,TUMAKURU,3720000,296.0609929,26,346,3759.407168,18609,0,81115,1611329,195775,82357,94182,41773,293.11145,8823.035255,61881,107145,215476,510325,94,408020,1018575,99724,4770.516636,791064,82,40.64,47.67,99.9,NA
2022-2023,Aug,15,KARNATAKA,1530,Yadgir,2914000,297.2590903,29,456,5828.715671,18647,1,31481,2520547,486407,60990,318980,33250,75.35811,13396.62886,86632,136095,144032,280417,110,254324,550562,50128,7492.555083,1303131,74,66.04,70.38,100.01,NA
2022-2023,Sep,15,KARNATAKA,1501,BAGALKOTE,3850000,291.0621905,33,2005,5703.159642,15438,1,18390,2996946,530736,58685,240925,25211,471.20892,14897.34524,88326,152657,151803,330646,572,267437,575007,33828,8722.976677,1593366,64,51.1,73.13,100.22,NA
2022-2023,Sep,15,KARNATAKA,1503,BENGALURU RURAL,1120000,292.9614394,37,418,1690.604951,4947,0,19950,948979,137375,27923,52144,8627,146.51221,4617.2597,25307,43932,61288,143670,112,113473,259786,24897,2780.142538,470652,75,66.37,73.67,100.07,NA
2022-2023,Sep,15,KARNATAKA,1505,BALLARI,3220000,272.2678204,48,1634,3307.148025,6663,0,19773,4294025,871729,65614,1373997,91683,199.30738,15197.70368,88143,191480,106998,311053,1600,161102,474153,26436,11691.24827,2294381,55,77.58,86.15,100.04,NA
2022-2023,Sep,15,KARNATAKA,1512,DAVANAGERE,2520000,286.4417938,31,252,3959.221811,4071,1,25904,1616974,325614,65219,239032,44243,220.24644,8811.157582,51249,90948,121704,284411,220,229294,521912,29975,4631.689331,784436,79,66.35,65.55,100,NA
2022-2023,Sep,15,KARNATAKA,1524,SHIVAMOGGA,2100000,299.9164298,27,473,2065.754506,6572,0,34769,2201937,462338,89641,117329,20097,295.08589,8964.811233,79292,140189,161225,406772,163,242820,577978,41341,6603.970837,1117267,77,78.26,78.65,100.12,NA
2022-2023,Sep,15,KARNATAKA,1527,UTTARA KANNADA,1155000,297.5880285,27,100,1892.352138,7771,2,26503,919316,50360,15473,34539,8386,227.89757,4856.024068,33661,57239,89473,223516,74,199725,453109,34274,2735.77436,459264,81,55.27,58.38,100.12,NA
2022-2023,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,3500000,301.0752233,30,3592,7072.138885,12767,0,27643,1999278,429307,83116,266265,50401,288.20143,13379.67102,65730,112464,141615,353682,242,219717,555017,40410,6019.330702,1047730,77,60.32,68.7,100.05,NA
2022-2023,June,15,KARNATAKA,1501,BAGALKOTE,2035000,256.7888339,24,1602,2534.824978,5928,2,24351,1751870,307969,58263,146250,25090,275.87847,7309.309992,70474,119880,150569,328485,95,260601,566883,30279,4498.606544,952728,64,57.41,71.57,100.01,NA
2022-2023,June,15,KARNATAKA,1510,CHITRADURGA,1924000,237.9353926,22,159,7755.726535,9679,2,48541,1287743,244555,96854,422045,90238,175.61127,10995.33417,57296,94271,183023,442492,21,321130,806327,58220,3063.996363,679384,64,75.61,83.73,100.9,NA
2022-2023,June,15,KARNATAKA,1513,DHARWAR,925000,256.7228011,24,110,3776.4103,9901,1,28242,759228,73606,20303,47753,15463,61.32002,5786.841709,30893,56037,84602,224732,16,159515,407634,38143,1949.111388,334057,79,54.67,56.24,100.67,NA
2022-2023,June,15,KARNATAKA,1514,GADAG,1369000,289.3932755,19,505,16.68574,1911,0,20747,873491,154281,55919,76725,25330,46.02171,2590.531666,44398,91727,119306,303859,25,159537,413186,22658,2527.824216,413077,67,72.74,73.36,100.01,NA
2022-2023,June,15,KARNATAKA,1520,KOPPAL,2590000,246.6887758,30,2570,5964.270377,11588,0,37560,4512105,775137,91081,633361,74818,174.67022,17269.79718,146015,300745,207701,535425,277,309550,906899,49148,11130.85659,2354311,73,90.7,89.23,99.92,NA
2022-2023,June,15,KARNATAKA,1523,RAICHUR,3885000,205.678528,27,701,8417.5859,4805,0,45108,5182494,907351,118627,1330362,145774,276.61642,19353.47969,189007,374777,263996,622142,30,347142,882167,49913,10659.27737,2703798,73,78.43,74.51,100.02,NA
2022-2023,Nov,15,KARNATAKA,1502,BENGALURU,72000,291.8747914,37,8,149.7169484,1055,9,1839,81405,14258,3727,1369,394,17.4756,404.7932223,2147,3895,6958,16200,17,58714,136526,2894,237.6006739,41984,85,65.05,52.09,100.15,NA
2022-2023,Nov,15,KARNATAKA,1508,CHAMARAJA NAGARA,2240000,298.0462247,30,401,5766.618472,11031,0,11241,1514867,390400,89770,135668,34276,259.11861,10540.74099,49204,79886,132738,310668,162,218087,519151,22272,4515.003903,820409,78,60.98,58.57,101.11,NA
2022-2023,Nov,15,KARNATAKA,1509,CHIKKAMAGALURU,2080000,293.2633004,38,147,6899.749034,18471,0,29466,1768647,265396,45927,54761,9051,386.75962,12473.30122,45743,83878,96209,234000,371,173229,398560,47937,5186.792565,891863,72,58.77,66.33,100.09,NA
2022-2023,Nov,15,KARNATAKA,1512,DAVANAGERE,2880000,299.4786301,36,288,6629.505617,9053,1,23314,2171577,435150,65371,310735,44334,403.20658,13536.12125,59072,105298,122078,285108,405,230319,522632,32367,6503.409051,1056843,79,65.77,64.68,100.01,NA
