fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,Dec,15,KARNATAKA,1528,CHIKKABALLAPURA,5617637,285.5001916,51,3595,7917.291301,31134,0,20676,5591220,1215087,81282,744980,49397,375,24255.23511,108686,206645,140370,356143,1795,219151,549261,51810,15962.94381,2850135,79,67.89,74.72,100.27,NA
2021-2022,Dec,15,KARNATAKA,1530,Yadgir,4360624,284.2406351,39,359,3089.561012,18722,0,30313,4298083,787382,53633,453649,28043,193.58,15500.03943,108147,173866,139243,268744,1926,261859,529984,49035,12216.89841,2182183,75,75.93,79.52,100.35,NA
2021-2022,July,15,KARNATAKA,1501,BAGALKOTE,2905700,260.8330739,30,2089,2470.306061,9426,0,25075,2900338,442165,55851,197280,23225,334.94,10370.28682,94780,164866,147962,331750,320,246816,540411,34501,7565.040758,1462579,70,57.03,69.09,99.99,NA
2021-2022,July,15,KARNATAKA,1502,BENGALURU,18518,243.3085323,24,9,39.79685466,507,17,2046,18049,4335,4073,205,453,0,83.71161166,726,1353,6608,16304,1,50434,123883,2553,43.914757,8105,88,71.74,59.59,103.15,NA
2021-2022,July,15,KARNATAKA,1510,CHITRADURGA,3223505,268.0670767,31,342,27.18,4920,0,53369,3211985,607698,99726,777017,91425,240.5,8877.954292,102229,182978,185936,457284,167,320396,793918,58289,8610.274292,1654524,69,95.27,94.63,100.97,NA
2021-2022,July,15,KARNATAKA,1513,DHARWAR,1476461,269.40831,32,156,1745.083556,6590,1,20739,1471049,124493,17790,77574,12285,219.68669,5927.898496,45720,88177,80422,217581,122,151951,392386,27329,3963.12825,631695,84,63.94,62,100.45,NA
2021-2022,July,15,KARNATAKA,1514,GADAG,2547731,271.497013,30,943,1764.417953,2918,0,12724,2538825,401139,52547,206354,23730,134.75,8792.001994,84298,175428,117825,306718,103,159576,408741,15642,6892.834041,1168920,64,87.46,88.78,100.41,NA
2021-2022,July,15,KARNATAKA,1520,KOPPAL,4375532,254.5968555,33,1842,127.529386,3727,0,23965,4361294,753409,86338,632003,72541,195.57,11426.81677,131625,275778,192079,512210,394,298567,898307,27692,11103.71738,2210078,72,89.97,90.74,99.98,NA
2021-2022,July,15,KARNATAKA,1522,MYSURU,2062447,249.9941044,30,225,2970.481368,8861,1,37633,2042913,294582,74728,200044,44707,20,8097.643425,66432,127757,156184,404328,234,314987,813927,46494,5107.162057,980218,79,79.24,68.48,100.77,NA
2021-2022,July,15,KARNATAKA,1526,UDUPI,441654,289.8876951,33,36,579.0818641,2174,0,8963,441649,20673,4958,16581,4886,35,1894.367971,13027,23090,36021,87580,111,87113,191497,11137,1280.286107,272896,87,86.37,76.34,100,NA
